serial,Gora,Ten1,Tied,LLord,Furn,DMHSIZE,NumAdult,NumChild,NumDepCh,N1TO4,N5TO10,N11TO15,RESPSEX,RESPAGE,RESPMAR,RESPWith,RESPHldr,RELHRP,HHTypb,HHTYPA,HHTYPe,Parent,ParTod,Cars,CAR,Numcar,FullEd,HighEd,Highed4,Wrking,Qhealth1,SchemeET,JbAway,OwnBus,RelBus,Looked,StartJ,YInAct,DVILO3a,DVILO4a,Stat,SVise,EmpNo,Solo,SENo,FtPtWk,Parthrs,ES2000,NSSECB,nssecac,NSECAC5,NSECAC3,Everwk,sumgross,Nation1,Nation2,Nation3,Nation4,Nation5,Nation6,Ethnic,Paidjob,AGEX,AGEH,DeFact1,DeFacto,LEFTED,TENgrp,DiaryDay,TotUs1,dyear
2005060900921,5,1,-1,-1,-1,3,3,0,1,0,0,0,2,41,3,2,1,0,4,5,4,2,-1,1,2,1,16,2,2,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,3,-1,-1,1,-1,7,4.1,2,1,1,-1,98,1,-1,-1,-1,-1,-1,1,1,2,7,4,6,2,1,2,37,2005
2005060900922,5,2,-1,-1,-1,3,1,2,2,0,1,1,2,42,3,2,1,0,4,6,4,1,2,1,2,1,16,7,2,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,-1,-1,1,-1,7,4.1,2,1,1,-1,19,1,-1,-1,-1,-1,-1,11,1,2,7,4,6,2,2,4,34,2005
2005060900924,5,2,-1,-1,-1,1,1,0,0,0,0,0,2,55,4,-1,1,0,1,1,1,2,-1,1,2,1,18,2,2,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,-1,-1,1,-1,6,10,5,4,3,-1,22,6,-1,-1,-1,-1,-1,2,1,4,10,4,5,2,2,3,40,2005
2005060900925,5,1,-1,-1,-1,3,3,0,0,0,0,0,1,39,1,2,5,3,3,5,3,2,-1,1,3,2,16,6,2,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,3,-1,-1,1,-1,7,12.2,6,5,3,-1,26,1,-1,-1,-1,-1,-1,1,1,2,6,2,3,2,1,3,41,2005
2005060900926,5,1,-1,-1,-1,2,2,0,0,0,0,0,1,66,2,-1,3,0,3,4,3,2,-1,1,3,2,15,8,4,2,2,-1,2,2,2,2,-1,6,3,4,1,2,1,-1,-1,2,1,7,13.3,7,5,3,1,17,1,-1,-1,-1,-1,-1,1,1,5,11,1,1,2,1,7,-1,2005
2005060900930,5,1,-1,-1,-1,1,1,0,0,0,0,0,1,85,5,-1,1,0,1,2,1,2,-1,1,2,1,14,8,4,2,3,-1,2,2,2,2,-1,6,3,4,2,-1,-1,1,-1,1,-1,3,9.1,4,3,2,1,10,1,-1,-1,-1,-1,-1,1,0,6,12,3,4,1,1,3,-1,2005
2005060902101,5,2,-1,-1,-1,5,5,0,1,0,0,0,2,56,2,-1,3,1,2,5,2,2,-1,2,1,-1,17,5,2,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,2,-1,-1,1,-1,1,-1,3,9.1,4,3,2,-1,11,1,-1,-1,-1,-1,-1,1,4,4,10,1,1,2,2,1,48,2005
2005060902103,5,1,-1,-1,-1,6,6,0,0,0,0,0,1,25,2,-1,5,3,3,5,3,2,-1,2,1,-1,16,8,4,2,2,2,2,2,2,1,1,-1,2,3,1,2,2,-1,-1,1,-1,7,12.1,6,5,3,1,5,5,-1,-1,-1,-1,-1,9,1,2,4,1,1,2,1,6,-1,2005
2005060902107,5,1,-1,-1,-1,2,2,0,0,0,0,0,1,68,2,-1,3,0,3,4,3,2,-1,2,1,-1,22,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,2,-1,-1,1,-1,2,-1,3,9.1,4,3,2,-1,98,1,-1,-1,-1,-1,-1,1,1,5,11,1,1,3,1,6,5,2005
2005060902108,5,1,-1,-1,-1,2,2,0,0,0,0,0,2,45,2,-1,1,0,3,3,3,2,-1,1,2,1,23,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,3,-1,-1,1,-1,6,15,8,6,4,-1,35,5,-1,-1,-1,-1,-1,1,1,3,8,1,1,3,1,1,45,2005
2005060902112,5,2,-1,-1,-1,2,2,0,0,0,0,0,1,27,1,1,3,0,3,3,3,2,-1,1,2,1,22,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,5,5,2,1,1,-1,28,5,-1,-1,-1,-1,-1,1,2,2,4,1,2,3,2,1,45,2005
2005060902113,5,1,-1,-1,-1,2,2,0,0,0,0,0,2,42,2,-1,1,0,3,3,3,2,-1,1,2,1,42,1,1,2,2,2,2,2,2,2,-1,1,3,4,1,2,2,-1,-1,1,-1,7,7.1,3,2,2,1,6,5,-1,-1,-1,-1,-1,1,1,2,7,1,1,4,1,6,-1,2005
2005060902114,5,2,-1,-1,-1,1,1,0,0,0,0,0,1,34,1,-1,1,0,1,1,1,2,-1,1,2,1,21,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,-1,-1,1,-1,7,7.1,3,2,2,-1,21,1,-1,-1,-1,-1,-1,1,1,2,5,2,3,3,2,6,35,2005
2005060902115,5,2,-1,-1,-1,4,2,2,2,0,1,1,2,35,1,1,3,2,2,6,2,1,2,1,2,1,16,6,2,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,-1,-1,2,-1,7,12.2,6,5,3,-1,14,1,-1,-1,-1,-1,-1,1,1,2,6,1,2,2,2,1,12,2005
2005060902116,5,3,-1,-1,-1,2,2,0,0,0,0,0,1,32,2,-1,5,1,3,3,3,2,-1,1,3,2,24,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,-1,-1,1,-1,4,5,2,1,1,-1,29,1,-1,-1,-1,-1,-1,1,2,2,5,1,1,3,2,6,38,2005
2005060902117,5,5,2,5,1,4,4,0,0,0,0,0,2,29,2,-1,5,10,5,5,5,2,-1,1,2,1,22,3,2,2,1,2,2,2,2,2,-1,2,3,4,-1,-1,-1,-1,-1,-1,-1,-1,14.1,8,6,4,2,4,6,-1,-1,-1,-1,-1,8,1,2,4,1,1,3,4,1,-1,2005
2005060902118,5,4,2,7,3,5,2,3,3,0,1,2,2,41,2,-1,5,1,2,7,2,1,2,2,1,-1,16,8,4,2,2,2,2,2,2,1,1,-1,2,3,1,2,1,-1,-1,1,-1,7,12.2,6,5,3,1,13,1,-1,-1,-1,-1,-1,1,1,2,7,1,1,2,4,2,-1,2005
2005060902119,5,1,-1,-1,-1,2,2,0,0,0,0,0,2,60,4,2,3,18,6,3,5,2,-1,1,3,2,15,8,4,2,5,2,2,2,2,2,-1,6,3,4,1,2,1,-1,-1,2,1,7,12.1,6,5,3,1,10,1,5,-1,-1,-1,-1,1,1,4,10,4,5,2,1,7,-1,2005
2005060902121,5,4,2,1,3,1,1,0,0,0,0,0,2,86,5,-1,1,0,1,2,1,2,-1,2,1,-1,14,8,4,2,3,-1,2,2,2,2,-1,6,3,4,1,2,2,-1,-1,2,2,7,12.2,6,5,3,1,9,1,-1,-1,-1,-1,-1,1,0,6,12,3,4,1,3,1,-1,2005
2005060902122,5,1,-1,-1,-1,3,3,0,0,0,0,0,1,60,2,-1,3,0,3,5,3,2,-1,1,2,1,15,8,4,2,1,2,2,2,2,2,-1,6,3,4,1,2,3,-1,-1,1,-1,4,2,1.1,1,1,1,19,1,-1,-1,-1,-1,-1,1,0,4,10,1,1,2,1,1,-1,2005
2005060902124,5,2,-1,-1,-1,2,2,0,0,0,0,0,1,48,1,1,5,2,3,3,3,2,-1,1,2,1,16,6,2,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,3,-1,-1,1,-1,7,4.1,2,1,1,-1,18,1,-1,-1,-1,-1,-1,1,1,3,8,1,2,2,2,2,37,2005
2005060902125,5,2,-1,-1,-1,2,2,0,0,0,0,0,2,32,2,-1,5,1,3,3,3,2,-1,1,2,1,97,8,4,2,1,2,2,2,2,2,-1,1,3,4,1,2,2,-1,-1,2,2,7,15,8,6,4,1,97,6,-1,-1,-1,-1,-1,10,1,2,5,1,1,5,2,7,-1,2005
2005060902127,5,1,-1,-1,-1,4,2,2,2,0,1,1,2,39,2,-1,3,1,2,6,2,1,2,1,3,2,17,6,2,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,5,2,1.1,1,1,-1,38,5,-1,-1,-1,-1,-1,1,2,2,6,1,1,2,1,2,40,2005
2005060902128,5,4,2,1,3,1,1,0,0,0,0,0,2,31,1,-1,1,0,1,1,1,2,-1,2,1,-1,31,4,2,2,1,2,2,2,2,2,-1,2,3,4,1,2,2,-1,-1,2,1,7,12.2,6,5,3,1,12,5,-1,-1,-1,-1,-1,1,0,2,5,2,3,4,3,7,-1,2005
