aprim1,aprim2,aprim3,aprim4,aprim5,aprim6,aprim7,aprim8,aprim9,aprim11,aprim12,aprim13,aprim14,aprim15,aprim16,aprim17,aprim18,aprim19,aprim20,aprim21,aprim22,aprim23,aprim24,aprim25,aprim26,aprim27,aprim28,aprim29,aprim30,aprim41,aprim42,aprim43,aprim44,aprim45,aprim51,aprim52,aprim53,aprim54,aprim55,aprim61,aprim62,aprim63,aprim64,aprim65,aprim71,aprim72,aprim73,aprim74,aprim75,aprim81,aprim82,aprim83,aprim84,aprim85,aprim91,aprim92,aprim93,aprim94,aprim95,aprim99
510,90,70,90,40,90,0,80,40,10,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,0,30,60,0,0,0,0,0,670,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,150,40,60,20,10,0,0,0,460,0,0,0,0,0,0,0,0,10,60,0,20,0,40,0,0,0,0,0,0,0,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0,50,10,0,0,10,410,0,670,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,30,0,10,0,0,0,0,520,0,0,0,0,0,0,0,0,180,10,0,80,120,0,0,0,0,0,0,0,0,70,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,40,10,20,0,20,40,0,0,0,0,0,0,400,0,0,0,0,60,0,0,250,0,0,0,0,0,0,0,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,0,40,130,30,0,0,0,0,130,0,0,0,160,0,0,0,0,70,40,0,0,0,0,250,0,0,0,0,0,0,0,10,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,60,10,0,10,90,60,0,0,0,0,40,0,0,380,0,0,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,120,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,10,10,30,0,0,0,50,30,0,0,0,0,0,0,0,0,120,140,90,0,300,0,0,0,0,0,0,0,20,0,0,30,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,0,30,50,0,0,0,0,0,690,0,0,0,0,0,0,0,0,110,0,0,10,0,10,0,0,0,0,0,0,0,60,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,90,40,50,50,50,0,10,20,0,0,0,0,0,0,0,0,170,260,30,0,30,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,0,100,130,100,180,0,0,30,0,0,0,0,0,350,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,120,30,180,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,140,170,0,0,0,0,0,0,0,90,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,60,10,50,110,80,50,0,0,0,0,0,0,180,0,0,0,70,240,0,0,0,0,0,40,0,40,0,0,0,0,0,60,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,20,0,40,0,90,10,0,0,0,0,0,0,0,0,0,0,0,50,40,0,0,0,0,0,0,0,0,270,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0
460,40,140,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0
570,10,40,120,0,0,0,0,30,0,0,0,0,0,40,0,0,0,340,40,150,0,0,0,0,0,30,0,0,20,0,0,0,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,0,10,30,70,0,0,0,0,320,0,0,0,360,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,30,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,10,20,10,0,0,0,0,0,0,0,0,480,0,0,0,0,60,0,0,0,430,0,0,0,80,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0
460,20,20,80,40,0,10,0,0,400,0,0,0,0,0,0,0,0,120,50,0,150,0,0,0,0,0,0,0,0,0,30,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,0,60,90,40,0,230,0,10,0,0,0,0,0,0,0,0,160,240,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
540,60,30,90,30,60,0,180,0,0,0,0,0,0,0,0,0,0,390,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,60,120,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360
600,0,10,60,90,0,0,0,0,0,0,0,0,0,0,0,0,0,610,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
430,0,0,110,0,0,0,0,30,0,0,0,0,0,0,0,0,70,360,0,0,0,90,0,0,0,0,120,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
600,0,30,60,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,50,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
480,0,80,50,60,0,40,140,0,0,0,0,0,0,0,0,0,60,290,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
550,0,20,140,60,0,50,20,0,0,0,0,0,110,0,0,0,60,180,0,0,120,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
510,0,40,80,40,0,0,0,0,470,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
300,0,60,590,10,180,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,0,10,120,90,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,140,0,0,0,80,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,0,30,110,10,70,0,0,0,0,0,0,0,0,0,0,0,0,140,30,0,0,0,30,0,0,190,40,0,0,0,0,40,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,0,10,90,0,0,0,0,30,510,0,0,0,0,0,0,0,0,150,140,0,0,0,10,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,0,10,80,0,50,60,50,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0,60,40,0,0,110,0,400,0,0,0,0,0,0,0,0,370,0,0,0,0,50,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,0,40,20,10,0,0,0,10,470,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0
590,10,20,80,130,0,30,0,0,0,0,0,0,0,0,0,0,160,120,0,0,0,0,30,0,0,170,60,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,160,30,90,180,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,190,20,110,90,0,30,0,0,190,0,0,0,0,0,0,0,100,260,20,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,10,40,170,150,0,0,0,90,270,0,0,0,0,0,40,0,0,200,0,0,0,0,20,0,0,40,30,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,440,110,60,40,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,90,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
