"Economics, Policy & Politics",Marine,Fossil Fuels,Nuclear,Electricity Networks,Energy in Developing Countries,Teaching,Storage,Demand and Efficiency,Bioenergy,Transport,Solar,First name,Surname
0,0,0,1,0,0,0,1,0,0,0,0,Paul,Madden
0,0,0,0,0,0,0,0,0,0,0,0,Lavan,Mahadeva
0,0,0,1,0,0,0,0,0,0,0,0,James,Marrow
0,1,1,0,0,0,0,0,0,0,0,0,Chris ,Martin
0,0,0,0,0,0,0,0,0,0,0,0,Mike,Mason
0,0,0,0,0,1,0,1,0,0,1,0,Malcolm,McCulloch
0,0,0,0,0,0,0,0,0,0,0,1,John,McGrady
0,0,0,0,0,0,0,0,0,0,0,0,Patrick,McSharry
0,0,0,1,0,0,0,0,0,0,0,1,Michael,Moody
0,0,0,0,1,0,0,0,0,0,0,0,Boris,Motik
0,0,0,0,0,0,0,1,0,0,0,1,Andreas,Muench
1,0,0,0,0,0,0,0,0,0,0,0,Benito,Müller 
0,0,0,0,0,0,0,0,0,0,1,0,Paul,Newman
0,0,0,0,0,0,0,0,0,0,0,1,Robin,Nicholas
0,0,0,1,0,0,0,0,0,0,0,0,Peter,Norreys
0,0,0,0,0,0,0,0,0,0,1,0,Colin,O'Halloran
0,0,1,0,0,0,0,0,0,1,0,1,Dermot,O'Hare
0,0,0,0,0,0,0,0,0,0,0,0,Martin,Oldfield
0,0,0,0,1,0,0,1,0,0,0,1,Michael,Osborn
1,0,0,0,0,0,0,0,0,1,1,0,James,Palmer
0,0,0,0,0,0,0,0,0,0,0,0,Antonis,Papachristodoulou
0,0,0,1,0,0,0,0,0,0,0,0,Felix,Parra 
0,0,0,0,0,0,0,1,1,0,0,0,Susan,Perkin
0,0,0,0,0,0,0,0,0,0,0,0,Nik,Petrinic
1,0,1,0,0,0,0,0,1,0,0,0,Simon,Pirani
0,0,0,0,0,0,0,1,0,0,1,1,Colin,Please
0,0,0,0,0,0,0,0,1,0,1,0,Ingmar,Posner
0,0,1,1,0,1,0,0,0,0,1,0,Thomas,Povey
1,0,0,0,0,0,0,0,0,0,0,0,Steve,Rayner
0,0,0,0,0,0,0,0,0,0,0,0,Catherine,Redgwell
1,0,0,0,0,1,0,0,0,0,0,0,John,Rhys
0,0,0,0,0,0,0,0,0,0,0,1,Moritz,Riede
0,0,0,0,0,1,0,0,0,0,0,0,Laura,Rival
0,0,0,0,1,0,0,0,0,0,0,0,Stephen,Roberts
0,0,0,1,0,0,0,0,0,0,0,0,Steven,Roberts
1,0,0,0,1,1,0,0,1,0,0,1,David,Robinson
1,1,0,0,0,0,0,0,0,0,0,0,Alex,Rogers
1,0,1,0,0,0,0,0,0,0,0,0,Howard,Rogers
0,0,0,0,0,0,0,0,0,0,0,0,Bill,Roscoe
1,0,0,0,0,1,0,0,0,0,0,0,Hiram,Samel
0,0,0,1,0,0,0,0,0,0,0,0,Alexander,Schekochihin
0,0,0,0,0,0,0,0,0,0,1,0,Tim,Schwanen
1,0,1,0,0,1,0,0,0,0,0,0,Anupama,Sen
0,0,0,0,0,0,0,0,0,0,0,0,Henry ,Shue
0,0,0,0,0,0,0,0,0,1,0,0,Andrew,Smith
0,0,0,1,0,0,0,1,0,0,0,0,George,Smith
0,0,0,0,0,0,0,0,0,0,0,1,Jason,Smith
0,0,0,0,0,0,0,0,0,0,0,1,Henry ,Snaith
0,0,0,0,0,0,0,0,0,0,0,0,Ricardo,Soares de Oliveira
1,0,1,0,0,1,0,1,1,0,0,0,Jonathan,Stern
0,0,1,0,0,0,0,0,1,1,0,1,Richard,Stone
0,0,0,0,0,0,0,0,0,0,0,0,Paul,Taylor
0,1,0,0,0,0,0,0,1,0,0,0,James,Taylor
0,0,0,0,0,1,0,0,0,1,0,0,Ian,Thompson
1,0,0,0,0,0,0,0,1,0,1,0,Martino,Tran
0,0,0,0,0,0,0,0,0,0,0,0,Anne,Trefethen
0,0,0,0,0,0,0,0,0,0,0,0,Edman,Tsang
1,0,0,0,0,1,0,0,0,0,0,0,Rick,van der Ploeg
1,0,0,0,0,0,0,0,0,0,0,0,Tony,Venables
1,0,0,0,0,1,0,0,0,0,0,0,Marc,Ventresca
0,0,0,0,0,0,0,0,0,1,0,0,Kylie,Vincent
0,0,0,0,0,0,0,0,1,0,0,0,David,Wallom
0,0,0,0,0,0,0,0,1,0,0,0,Edmond,Walsh
1,0,0,1,0,0,0,0,1,1,0,0,David,Ward
0,0,0,1,0,0,0,0,0,0,0,0,Justin,Wark
0,0,0,0,0,0,0,0,0,0,0,1,Andrew,Watt
0,0,1,0,0,0,0,1,0,0,0,0,Andrew,Weller
0,0,0,1,0,0,0,0,0,0,1,1,Angus,Wilkinson
0,1,1,0,0,0,0,0,0,0,0,0,Richard,Willden
1,0,1,0,0,1,0,0,0,0,0,0,Kathy,Willis
0,0,0,0,0,0,0,0,0,0,0,1,Peter,Wilshaw
1,0,1,0,0,0,0,0,0,0,1,0,Katja,Yafimava
1,0,1,0,0,0,0,0,0,0,0,0,Shamil,Yenikeyeff
,,,,,,,,,,,,Kyriakos Porfyrakis,
